country,region,year,latitude,longitude,type_of_violence,best
Moldova,Europe,1992,46.833333,29.483333,1,1
Moldova,Europe,1992,46.787511,29.449223,1,5
Moldova,Europe,1992,47.14583,29.132373,1,1
Moldova,Europe,1992,47.14583,29.132373,1,6
Moldova,Europe,1992,47.266667,29.166667,1,2
Moldova,Europe,1992,47.018071,29.467963,1,6
Moldova,Europe,1992,47.266667,29.166667,1,1
Moldova,Europe,1992,46.833333,29.483333,1,1
Moldova,Europe,1992,47.305286,29.111533,1,3
Moldova,Europe,1992,46.833333,29.483333,1,3
Moldova,Europe,1992,46.838732,29.520033,1,5
Moldova,Europe,1992,47.266667,29.166667,1,2
Moldova,Europe,1992,47.0,29.5,1,330
Moldova,Europe,1992,46.833333,29.483333,1,0
Moldova,Europe,1992,47.266667,29.166667,1,2
Moldova,Europe,1992,47.178963,29.164651,1,0
Moldova,Europe,1992,47.178963,29.164651,1,1
Rumania,Europe,1989,44.435715,26.102504,3,20
Rumania,Europe,1989,46.166667,21.316667,1,4
Rumania,Europe,1989,45.759722,21.23,1,0
Rumania,Europe,1989,46.766667,23.583333,1,0
Rumania,Europe,1989,43.900833,25.973889,1,3
Rumania,Europe,1989,44.435715,26.102504,1,2
Rumania,Europe,1989,46.0,25.0,1,196
Rumania,Europe,1989,46.0,25.0,3,0
Rumania,Europe,1989,44.571111,26.085,1,40
Rumania,Europe,1989,46.766667,23.583333,3,32
Rumania,Europe,1989,44.435715,26.102504,1,0
Rumania,Europe,1989,45.759722,21.23,3,122
Rumania,Europe,1989,44.435715,26.102504,3,13
Rumania,Europe,1989,45.759722,21.23,1,0
Russia (Soviet Union),Europe,2003,43.318,45.6982,1,3
Russia (Soviet Union),Europe,2000,42.981,46.2256,3,0
Russia (Soviet Union),Europe,2009,43.3204,45.0477,1,4
Russia (Soviet Union),Europe,2009,43.2911,45.3014,1,0
Russia (Soviet Union),Europe,2009,43.131672,45.300046,1,1
Russia (Soviet Union),Europe,1995,43.3519,46.1035,1,2
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,5
Russia (Soviet Union),Europe,2009,42.6351,47.2236,1,1
Russia (Soviet Union),Europe,2009,43.5287,45.7798,1,2
Georgia,Europe,1993,42.159686,42.337775,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2005,43.7732,41.9143,1,2
Russia (Soviet Union),Europe,2001,43.2917,45.8724,3,0
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,3
Russia (Soviet Union),Europe,2001,43.0802,46.2202,3,5
Russia (Soviet Union),Europe,2005,43.2854,44.8358,1,1
Russia (Soviet Union),Europe,2001,43.123,45.7415,3,1
Russia (Soviet Union),Europe,2005,43.2505,46.5851,1,1
Russia (Soviet Union),Europe,2009,43.7472,44.6571,1,4
Russia (Soviet Union),Europe,2009,43.7587,44.0109,1,1
Russia (Soviet Union),Europe,2009,43.2227,46.2526,1,1
Russia (Soviet Union),Europe,2005,43.8138,46.5906,1,2
Russia (Soviet Union),Europe,2005,43.3058,45.7477,1,1
Russia (Soviet Union),Europe,2005,43.3058,45.7477,1,7
Russia (Soviet Union),Europe,2009,43.0952,45.3586,1,1
Russia (Soviet Union),Europe,2005,43.0318,45.2623,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,3
Russia (Soviet Union),Europe,2009,42.9526,46.0671,1,1
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2005,43.0236,46.3603,1,2
Russia (Soviet Union),Europe,2006,43.318,45.6982,1,7
Russia (Soviet Union),Europe,2006,42.9849,47.5046,1,2
Russia (Soviet Union),Europe,2006,43.3058,45.7477,1,2
Russia (Soviet Union),Europe,2006,42.6528,45.8503,1,1
Russia (Soviet Union),Europe,2006,55.7558,37.6173,1,1
Russia (Soviet Union),Europe,2007,42.9526,46.0671,1,0
Russia (Soviet Union),Europe,2007,43.2731,47.5156,1,2
Russia (Soviet Union),Europe,1995,43.3058,45.7477,1,2
Russia (Soviet Union),Europe,2009,43.2275,44.7646,1,1
Russia (Soviet Union),Europe,2009,43.1453,44.8538,1,3
Russia (Soviet Union),Europe,2010,55.7558,37.6173,3,14
Russia (Soviet Union),Europe,2010,43.187861,44.746127,1,2
Russia (Soviet Union),Europe,2010,42.9849,47.5046,1,0
Russia (Soviet Union),Europe,2010,42.4543,47.6629,1,0
Russia (Soviet Union),Europe,2011,42.9849,47.5046,1,2
Russia (Soviet Union),Europe,2011,43.5318,43.5426,1,1
Russia (Soviet Union),Europe,2011,43.1488,45.901,1,1
Russia (Soviet Union),Europe,2011,43.1264,45.3282,1,3
Russia (Soviet Union),Europe,2011,43.208,46.6895,1,1
Russia (Soviet Union),Europe,2011,43.9248,43.89662,1,10
Russia (Soviet Union),Europe,2011,43.6819,43.535,1,1
Georgia,Europe,2004,42.333333,44.0,1,0
Russia (Soviet Union),Europe,1990,40.39528,49.88222,1,3
Russia (Soviet Union),Europe,2011,42.9849,47.5046,1,0
Russia (Soviet Union),Europe,2012,43.2505,46.5851,1,3
Russia (Soviet Union),Europe,2012,43.3204,45.0477,1,0
Russia (Soviet Union),Europe,2012,43.6819,43.535,1,0
Russia (Soviet Union),Europe,2011,43.3806,45.8286,1,0
Russia (Soviet Union),Europe,2005,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2002,43.1872,45.2864,3,0
Russia (Soviet Union),Europe,1991,40.1,46.0,1,1
Russia (Soviet Union),Europe,1991,40.0,46.583333,1,7
Russia (Soviet Union),Europe,1990,40.812778,44.488333,1,1
Russia (Soviet Union),Europe,1991,40.45378,46.646319,1,1
Russia (Soviet Union),Europe,1991,40.388889,46.489444,1,2
Russia (Soviet Union),Europe,1991,40.0,46.583333,1,0
Russia (Soviet Union),Europe,1991,40.388889,46.489444,1,15
Russia (Soviet Union),Europe,1990,40.0,46.583333,2,3
Russia (Soviet Union),Europe,2003,42.8496,47.6269,1,10
Russia (Soviet Union),Europe,2003,43.318,45.6982,1,4
Russia (Soviet Union),Europe,2004,42.9059,46.1377,1,4
Russia (Soviet Union),Europe,2000,43.3058,45.7477,1,16
Russia (Soviet Union),Europe,2004,43.1117,45.9901,1,3
Russia (Soviet Union),Europe,2001,43.3058,45.7477,3,1
Russia (Soviet Union),Europe,2004,43.1618,46.0078,1,1
Russia (Soviet Union),Europe,2001,43.3058,45.7477,3,1
Russia (Soviet Union),Europe,1995,43.3058,45.7477,1,2
Russia (Soviet Union),Europe,1994,43.318,45.6982,1,15
Russia (Soviet Union),Europe,2004,42.9809,46.3108,1,2
Russia (Soviet Union),Europe,1993,55.7558,37.6173,1,49
Russia (Soviet Union),Europe,1995,43.2917,45.8724,1,6
Russia (Soviet Union),Europe,2002,43.318,45.6982,3,0
Russia (Soviet Union),Europe,2004,42.9059,46.1377,1,3
Armenia,Europe,2015,40.789444,43.8475,3,7
Russia (Soviet Union),Europe,1995,43.2386,45.1714,1,20
Russia (Soviet Union),Europe,2002,43.318,45.6982,3,3
Russia (Soviet Union),Europe,2004,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2004,42.9624,45.9068,1,2
Russia (Soviet Union),Europe,1994,43.3058,45.7477,1,27
Russia (Soviet Union),Europe,2004,43.2707,44.7761,1,3
Russia (Soviet Union),Europe,2002,43.2425,46.0019,3,10
Russia (Soviet Union),Europe,1996,43.3058,45.7477,1,5
Russia (Soviet Union),Europe,2002,43.1228,45.7421,3,0
Russia (Soviet Union),Europe,2001,43.318,45.6982,1,3
Russia (Soviet Union),Europe,2002,43.2917,45.8724,3,1
Russia (Soviet Union),Europe,2004,43.3058,45.7477,1,0
Russia (Soviet Union),Europe,1999,45.0445,41.9691,1,1
Russia (Soviet Union),Europe,1999,43.3058,45.7477,1,541
Russia (Soviet Union),Europe,2000,43.4052,44.8203,1,6
Russia (Soviet Union),Europe,2001,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2004,55.7558,37.6173,3,11
Russia (Soviet Union),Europe,2004,55.7558,37.6173,3,41
Russia (Soviet Union),Europe,2001,42.9526,46.0671,1,0
Russia (Soviet Union),Europe,2002,43.3058,45.7477,1,0
Bosnia-Herzegovina,Europe,1993,42.711944,18.344167,1,1
Russia (Soviet Union),Europe,2000,43.2917,45.8724,1,102
Georgia,Europe,1993,43.054959,40.996664,1,19
Georgia,Europe,1993,42.709429,41.474563,1,10
Georgia,Europe,1993,43.027653,41.388869,1,1
Georgia,Europe,1992,43.0,41.5,1,2
Georgia,Europe,1993,42.0,43.5,1,11
Bosnia-Herzegovina,Europe,1992,43.343333,17.808056,1,4
Russia (Soviet Union),Europe,1996,42.8625,45.756,1,5
Russia (Soviet Union),Europe,1996,42.8625,45.756,1,5
Russia (Soviet Union),Europe,1996,42.7077,45.4501,1,5
Croatia,Europe,1992,45.288333,18.804722,1,1
Georgia,Europe,1993,41.979768,41.842424,1,1
Bosnia-Herzegovina,Europe,1994,43.85,18.383333,3,1
Russia (Soviet Union),Europe,2004,43.2953,45.8263,1,1
Bosnia-Herzegovina,Europe,1994,43.85,18.383333,3,1
Georgia,Europe,1993,43.001962,41.013907,1,10
Georgia,Europe,1993,43.001962,41.013907,1,3
Georgia,Europe,1993,43.001962,41.013907,1,2
Georgia,Europe,1993,43.054959,40.996664,1,6
Georgia,Europe,1993,42.649722,42.759722,1,0
Georgia,Europe,1992,42.227636,43.968608,1,1
Georgia,Europe,1992,43.0,41.5,1,10
Georgia,Europe,1993,41.979768,41.842424,1,30
Georgia,Europe,1993,43.001962,41.013907,1,2
Georgia,Europe,1993,43.0,41.5,1,208
Georgia,Europe,1993,42.20069,42.211357,1,20
Georgia,Europe,1993,42.20069,42.211357,1,3
Georgia,Europe,1992,43.303869,40.256137,1,21
Georgia,Europe,1992,43.0,41.5,1,9
Georgia,Europe,1993,43.001962,41.013907,1,7
Georgia,Europe,1992,42.318078,41.899979,1,1
Georgia,Europe,1992,42.268889,42.079167,1,4
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,1992,42.952668,40.981643,1,2
Georgia,Europe,1993,43.001962,41.013907,1,12
Georgia,Europe,1993,43.001962,41.013907,1,1
Georgia,Europe,1993,41.984477,42.208092,1,1
Georgia,Europe,1993,43.001962,41.013907,1,10
Georgia,Europe,1993,43.0,41.5,1,72
Georgia,Europe,1993,42.916389,43.011389,1,1
Georgia,Europe,2008,41.329804,44.2073,1,0
